sondId,songname
0,Careless Whisper
1,Could You Be Loved / Citação Musical do Rap: Se Ligue
2,Cruisin' (Part. Saulo)
3,Easy
4,For Your Babies (The Voice cover)
5,Human Nature
6,Losing Control (Miss Cady feat. Ivete Sangalo)
7,Master Blaster (Jammin')
8,More Than Words
9,Natural Collie
10,Where It Begins (feat. Nelly Furtado)
11,Bandera
12,Carnaval (Feat. Pitbull)
13,Circle Of Life
14,It Hurt So Bad
15,Lazy Groove
16,Shiver Down My Spine
17,Signs
18,Time after Time
19,We Are One (Ole Ola)
20,And I Love Her
21,Frogs In The Sky
22,Imagine
23,It Ain't Over Till It's Over
24,I Miss Her
25,They Don't Care About Us
26,Loved You Right Away
27,Goodbye Hello
28,Mess In The Freeway
29,Take On Me (cover)
30,I Live My Life For You
31,Dyer Maker
32,Game People Play
33,Love's Divine
34,Never Can Say Goodbye
35,Stay
36,Emotion
37,Walking On The Moon
38,Halo
39,Partition
40,If I Were A Boy
41,Love On Top
42,Crazy In Love (feat. Jay Z)
43,Irreplaceable
44,Formation
45,Pretty Hurts
46,Run The World (Girls)
47,Listen
48,Diva
49,***Flawless (Feat. Chimamanda Ngozi Adichie)
50,Yoncé
51,Freedom (Feat. Kendrick Lamar)
52,Drunk In Love (Feat. Jay Z)
53,Single Ladies (Put A Ring On It)
54,Hello
55,I Was Here
56,"Drunk In Love (Feat. Kanye West, Jay Z) (Remix)"
57,Brown Skin Girl (With Saint Jhn and Wizkid feat. Blue Ivy Carter)
58,Daddy Lessons
59,Sorry
60,Hold Up
61,***Flawless (Feat. Nicki Minaj)
62,End Of Time
63,'03 Bonnie & Clyde
64,1+1
65,6 Inch (Feat. The Weeknd)
66,632-5792
67,7/11
68,7/11 (DJ Mustard Remix)
69,7/11 (Skrillex & Diplo Remix)
70,A Woman Like Me
71,After All Is Said And Done
72,Ain't Nothing Like The Real Thing (feat. Justin Timberlake)
73,All I Could do Was Cry
74,All Night
75,Already (with Shatta Wale and Major Lazer)
76,Angel (feat. Kelly Rowland)
77,At Last
78,Ave Maria
79,Baby Boy (feat. Sean Paul)
